datetime,text,retweet_count,reply_count,like_count
2022-01-28 23:59:21+00:00,"Wordle 224 4/6

⬜🟩⬜🟨⬜
🟨🟩🟩⬜⬜
⬜🟩🟩⬜🟩
🟩🟩🟩🟩🟩",0,0,0
2022-01-28 23:59:21+00:00,"Wordle 223 6/6

⬛🟨🟨⬛⬛
🟨⬛⬛🟨⬛
⬛🟨🟨⬛⬛
⬛⬛⬛🟨🟨
⬛🟩⬛⬛🟨
🟩🟩🟩🟩🟩",0,0,0
2022-01-28 23:59:20+00:00,"With 1m 20s to spare
Wordle 223 5/6
⬜⬜🟨⬜⬜
⬜🟩⬜🟨⬜
⬜🟩🟩⬜⬜
🟩🟩🟩⬜⬜
🟩🟩🟩🟩🟩",0,0,1
2022-01-28 23:59:20+00:00,"Taylor Swift Wordle????

Taylordle 0 2/6

⬜⬜⬜⬜🟨
🟩🟩🟩🟩🟩",0,0,0
2022-01-28 23:59:20+00:00,"Wordle 223 4/6

🟩⬛⬛⬛🟨
🟩🟩🟩⬛⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩",0,0,0
2022-01-28 23:59:20+00:00,I can't keep up with his mind anymore😭 am i that dumb? Okay this is a wordle and then... What does this mean then? 😭 #cureuse,0,0,0
2022-01-28 23:59:20+00:00,"Wordle 224 6/6

⬜⬜🟨⬜⬜
⬜🟩⬜🟨⬜
🟩🟩🟩⬜⬜
🟩🟩🟩⬜⬜ grrrr
🟩🟩🟩🟩🟩",0,1,1
2022-01-28 23:59:19+00:00,"Wordle 224 4/6

⬛⬛⬛🟨⬛
🟩⬛⬛⬛⬛
🟩🟨🟨🟨🟩
🟩🟩🟩🟩🟩",0,1,0
2022-01-28 23:59:19+00:00,"Wordle 223 4/6*

Line 1: 4th and 5th correct but in the wrong place.
Line 2: 1st perfect, but 2nd and 5th in the wrong place.
Line 3: 1st, 2nd and 3rd perfect.
Line 4: Won!",0,0,1
2022-01-28 23:59:18+00:00,"Wordle 224 5/6

⬜⬜⬜⬜⬜
⬜🟨🟨⬜🟨
🟨🟩⬜🟨⬜
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩",0,0,0
2022-01-28 23:59:18+00:00,"There it is!! 

Wordle 223 5/6

🟨⬜⬜⬜🟨
🟨⬜⬜🟨⬜
⬜🟨⬜🟨🟨
🟩🟩⬜🟨⬜
🟩🟩🟩🟩🟩",0,1,4
2022-01-28 23:59:17+00:00,"Wordle 223 3/6

⬛⬛🟨⬛⬛
🟩⬛🟩🟨⬛
🟩🟩🟩🟩🟩",0,0,0
2022-01-28 23:59:17+00:00,"Wordle 223 4/6

⬜⬜⬜⬜⬜
⬜⬜⬜⬜🟨
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩",0,0,0
2022-01-28 23:59:17+00:00,"Wordle 224 5/6

⬜⬜⬜⬜⬜
⬜🟨🟨⬜⬜
🟨🟩⬜⬜⬜
🟩🟩🟩⬜⬜
🟩🟩🟩🟩🟩",0,0,0
2022-01-28 23:59:17+00:00,"Wordle (ES) #22 4/6

⬜⬜🟩⬜🟩
⬜⬜🟩🟨🟩
⬜🟨🟩⬜🟩
🟩🟩🟩🟩🟩

 https://t.co/2DpZHc3k3t",0,1,0
2022-01-28 23:59:17+00:00,I don’t know what wordle is. You’re just tweeting squares to me,0,1,0
2022-01-28 23:59:16+00:00,Lol it's wor- lmao it's like worlde. It's game wordle in simpsnos 🟩 https://t.co/p6yDhof321,0,0,4
2022-01-28 23:59:15+00:00,"Wordle 223 3/6

⬛⬛⬛🟨⬛
🟩⬛⬛⬛⬛
🟩🟩🟩🟩🟩",0,0,1
2022-01-28 23:59:15+00:00,"Wordle 223 4/6

⬜🟩⬜🟨⬜
🟨🟩⬜🟩⬜
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩",0,0,5
2022-01-28 23:59:15+00:00,"Yeah, baby!

Wordle 224 2/6

⬜⬜⬜⬜⬜
🟩🟩🟩🟩🟩",0,1,2
2022-01-28 23:59:14+00:00,"Wordle 224 5/6

⬛⬛⬛⬛⬛
🟩🟨🟨⬛⬛
🟩🟩⬛🟩⬛
🟩🟩⬛🟩⬛
🟩🟩🟩🟩🟩

Bad day",0,0,0
2022-01-28 23:59:14+00:00,"Wordle 223 6/6 
⬛⬛⬛🟨⬛
🟩🟩⬛⬛⬛
🟩🟩🟨⬛⬛
🟩🟩⬛🟩⬛
🟩🟩⬛🟩⬛
🟩🟩🟩🟩🟩

Not my finest but atleast I got it.",0,0,0
2022-01-28 23:59:14+00:00,"Wordle 223 4/6*

🟨🟩⬜⬜⬜
⬜🟩⬜⬜🟨
⬜🟩🟩⬜🟩
🟩🟩🟩🟩🟩",0,0,0
2022-01-28 23:59:13+00:00,"im amazing 

Wordle 224 2/6*

🟩⬜🟨⬜🟩
🟩🟩🟩🟩🟩",0,0,0
2022-01-28 23:59:13+00:00,"Wordle 223 3/6

⬛🟩⬛🟨⬛
🟩🟩🟩⬛🟩
🟩🟩🟩🟩🟩",0,0,1
2022-01-28 23:59:13+00:00,"Wordle 224 4/6

⬛⬛⬛⬛⬛
⬛🟩🟩⬛⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩",0,0,0
2022-01-28 23:59:12+00:00,"Wordle 223 4/6

⬛⬛⬛⬛🟨
🟨⬛🟨🟨⬛
🟩🟨⬛⬛🟩
🟩🟩🟩🟩🟩",0,0,0
2022-01-28 23:59:11+00:00,"@peenerpark Wordle 223 3/6

⬛🟩🟩⬛⬛
⬛⬛⬛🟩🟩
🟩🟩🟩🟩🟩

I think I got lucky",0,0,1
2022-01-28 23:59:11+00:00,"Wordle 223 4/6

🟩⬛⬛⬛⬛
🟩⬛🟩⬛⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩",0,0,0
